No,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,EP_SUM_YR_1,EP_SUM_YR_2,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,WEIGHTED_SEG_KM,LAST_FLIGHT_DATE,AVG_FLIGHT_COUNT,AVG_BP_SUM,BEGIN_TO_FIRST,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,ADD_POINTS_SUM_YR_1,ADD_POINTS_SUM_YR_2,EXCHANGE_COUNT,avg_discount,P1Y_Flight_Count,L1Y_Flight_Count,P1Y_BP_SUM,L1Y_BP_SUM,EP_SUM,ADD_Point_SUM,Eli_Add_Point_Sum,L1Y_ELi_Add_Points,Points_Sum,L1Y_Points_Sum,Ration_L1Y_Flight_Count,Ration_P1Y_Flight_Count,Ration_P1Y_BPS,Ration_L1Y_BPS,Point_NotFlight
0,2006/11/02,2008/12/24,男,6,.,北京,CN,31,2014/03/31,210,505308,0,74460,239560,234188,580717,558440.14,2014/03/31,26.25,63163.5,2,1,3.483253589,18,3352,36640,34,0.961639043,103,107,246197,259111,74460,39992,114452,111100,619760,370211,0.50952381,0.49047619,0.487220691,0.51277733,50
1,2007/02/19,2007/08/03,男,6,,北京,CN,42,2014/03/31,140,362480,0,41288,171483,167434,293678,367777.2,2014/03/25,17.5,45310,2,7,5.194244604,17,0,12000,29,1.25231444,68,72,177358,185122,41288,12000,53288,53288,415768,238410,0.514285714,0.485714286,0.489289094,0.510708147,33
2,2007/02/01,2007/08/30,男,6,.,北京,CN,40,2014/03/31,135,351159,0,39711,163618,164982,283712,355966.5,2014/03/21,16.875,43894.875,10,11,5.298507463,18,3491,12000,20,1.254675516,65,70,169072,182087,39711,15491,55202,51711,406361,233798,0.518518519,0.481481481,0.481467137,0.518530015,26
3,2008/08/22,2008/08/23,男,5,Los Angeles,CA,US,64,2014/03/31,23,337314,0,34890,116350,125500,281336,306900.88,2013/12/26,2.875,42164.25,21,97,27.86363636,73,0,0,11,1.090869565,13,10,186104,151210,34890,0,34890,34890,372204,186100,0.434782609,0.565217391,0.551721684,0.448275351,12
4,2009/04/10,2009/04/15,男,6,贵阳,贵州,CN,48,2014/03/31,152,273844,0,42265,124560,130702,309928,300834.06,2014/03/27,19,34230.5,3,5,4.78807947,47,0,22704,27,0.970657895,71,81,128448,145396,42265,22704,64969,64969,338813,210365,0.532894737,0.467105263,0.469053662,0.530942687,39
5,2008/02/10,2009/09/29,男,6,广州,广东,CN,64,2014/03/31,92,313338,0,27323,112364,76946,294585,285067.69,2014/01/13,11.5,39167.25,11,79,7.043956044,52,0,2460,10,0.967692483,50,42,190583,122755,27323,2460,29783,29783,343121,152538,0.456521739,0.543478261,0.608232617,0.391764191,15
6,2006/03/22,2006/03/29,男,6,乌鲁木齐市,新疆,CN,46,2014/03/31,101,248864,0,37689,120500,114469,287042,277095,2014/03/31,12.625,31108,11,1,7.19,28,0,12320,20,0.965346535,50,51,123200,125664,37689,12320,50009,50009,298873,175673,0.504950495,0.495049505,0.495047516,0.504948466,29
7,2010/04/09,2010/04/09,女,6,温州市,浙江,CN,50,2014/03/31,73,301864,0,39834,82440,114971,287230,276335.43,2014/03/29,9.125,37733,0,3,10.11111111,45,0,9500,7,0.962070222,30,43,157597,144267,39834,9500,49334,49334,351198,193601,0.589041096,0.410958904,0.52207775,0.477918937,14
8,2011/06/07,2011/07/01,男,5,DRANCY,,FR,50,2014/03/31,56,262958,0,31700,72596,87401,321489,266346.64,2014/03/26,7,32869.75,7,6,13.05454545,94,0,500,5,0.828478237,33,23,127130,135828,31700,500,32200,32200,295158,168028,0.410714286,0.589285714,0.483459399,0.516536799,7
9,2010/07/05,2010/07/05,女,6,温州,浙江,CN,43,2014/03/31,64,204855,0,47052,85258,60267,375074,265556.2,2014/03/17,8,25606.875,2,15,11.33333333,73,0,0,13,0.708010153,39,25,107949,96906,47052,0,47052,47052,251907,143958,0.390625,0.609375,0.526950638,0.47304448,16
10,2010/11/18,2010/11/20,女,6,PARIS,PARIS,FR,34,2014/03/31,43,298321,0,39018,69056,91581,262013,259041.26,2014/03/10,5.375,37290.125,2,22,16.83333333,95,0,500,1,0.988658044,20,23,140394,157927,39018,500,39518,39518,337839,197445,0.534883721,0.465116279,0.470612291,0.529384357,3
11,2004/11/13,2004/12/02,男,6,北京,.,CN,47,2014/03/31,145,256093,0,44539,92975,126821,271438,258554.16,2014/03/26,18.125,32011.625,1,6,5.027777778,42,20010,32459,15,0.95253487,57,88,101639,154454,44539,52469,97008,76998,353101,231452,0.606896552,0.393103448,0.396881614,0.603114481,66
12,2006/11/23,2007/11/18,男,5,SAN MARINO,CA,US,58,2014/03/31,29,210269,0,35539,44750,53977,321529,256942.5,2014/01/25,3.625,26283.625,20,67,23,112,0,0,3,0.799126984,14,15,89594,120675,35539,0,35539,35539,245808,156214,0.517241379,0.482758621,0.426090265,0.573904979,4
13,2006/10/25,2007/10/27,男,6,深圳,广东,CN,47,2014/03/31,118,241614,0,26426,105466,119832,179514,251029.1,2014/03/29,14.75,30201.75,3,3,6.196581197,38,2664,0,14,1.398381742,52,66,109261,132353,26426,2664,29090,26426,270704,158779,0.559322034,0.440677966,0.452211162,0.547784699,20
14,2010/02/01,2010/02/01,女,6,广州,广东,CN,45,2014/03/31,50,289917,0,38028,68941,79076,270067,248997.68,2014/03/30,6.25,36239.625,0,2,14.87755102,100,400,0,9,0.921984841,25,25,141454,148463,38028,400,38428,38028,328345,186491,0.5,0.5,0.487910375,0.512086176,12
15,2008/03/28,2008/04/05,男,4,BOWLAND HEIGHTS,CALIFORNIA,US,63,2014/03/31,22,286164,0,23338,69300,54764,234721,240843.6,2014/01/27,2.75,35770.5,11,65,31.19047619,102,0,500,6,1.026084586,11,11,166331,119833,23338,500,23838,23838,310002,143671,0.5,0.5,0.581241591,0.418754914,8
16,2010/07/15,2010/08/20,男,6,乌鲁木齐,新疆,CN,48,2014/03/31,101,219995,0,23381,93840,93114,172231,238802.57,2014/03/25,12.625,27499.375,40,7,6.84,41,0,13817,15,1.3865249,46,55,105476,114519,23381,13817,37198,37198,257193,151717,0.544554455,0.455445545,0.479445081,0.520550374,22
17,2010/11/10,2011/02/23,女,6,PARIS,,FR,50,2014/03/31,40,249882,0,31823,66239,63260,284160,238081.82,2014/02/16,5,31235.25,0,45,17.58974359,77,0,0,12,0.837844243,15,25,144509,105373,31823,0,31823,31823,281705,137196,0.625,0.375,0.578306648,0.421689351,13
18,2006/04/06,2007/02/22,男,6,乌鲁木齐市,新疆,CN,54,2014/03/31,64,215013,0,22036,99735,93006,169358,237371.54,2014/03/30,8,26876.625,23,2,11.20634921,48,0,12865,16,1.401596264,32,32,110416,104597,22036,12865,34901,34901,249914,139498,0.5,0.5,0.513529352,0.486465998,23
19,2011/08/29,2011/10/22,男,6,东莞,广东,CN,41,2014/03/31,38,191038,0,24656,60930,52316,332896,235785.38,2014/03/08,4.75,23879.75,16,24,18.67567568,74,0,0,0,0.70828541,20,18,98699,92339,24656,0,24656,24656,215694,116995,0.473684211,0.526315789,0.516643199,0.483351567,3
20,2008/07/30,2008/11/21,男,6,.,北京,CN,49,2014/03/31,106,220641,0,30493,69566,122763,167113,228845.23,2014/03/28,13.25,27580.125,51,4,6.438095238,31,0,0,4,1.369404116,44,62,74706,145935,30493,0,30493,30493,251134,176428,0.58490566,0.41509434,0.338584676,0.661410792,9
21,2011/06/07,2011/06/09,男,6,VECHEL,NORD BRABANT,AN,,2014/03/31,23,255573,0,29947,46800,198224,214590,227815.38,2014/03/26,2.875,31946.625,1,6,32.90909091,135,0,1000,7,1.061630924,8,15,97712,157861,29947,1000,30947,30947,286520,188808,0.652173913,0.347826087,0.382323711,0.617672377,9
22,2005/04/10,2005/04/10,男,6,广州,广东,CN,69,2014/03/31,94,193169,0,35222,59169,74497,305250,226435.62,2014/03/09,11.75,24146.125,13,23,7.47311828,42,17020,31983,5,0.741803833,43,51,71713,121456,35222,49003,84225,67205,277394,188661,0.542553191,0.457446809,0.371242947,0.628751877,46
23,2010/04/13,2010/04/13,男,6,,CA,US,41,2014/03/31,20,256337,0,24423,64258,59600,222380,223470.65,2014/01/18,2.5,32042.125,34,74,32.78947368,110,0,0,8,1.004904443,13,7,152816,103521,24423,0,24423,24423,280760,127944,0.35,0.65,0.596150395,0.403845704,9
24,2010/02/14,2010/03/01,女,5,,,FR,48,2014/03/31,44,204801,0,30638,38510,75816,281837,221892.65,2014/03/15,5.5,25600.125,31,17,15.88372093,66,0,500,10,0.787308444,17,27,75627,129174,30638,500,31138,31138,235939,160312,0.613636364,0.386363636,0.369268855,0.630726262,12
25,2010/10/14,2010/11/01,男,6,PARIS,FRANCE,FR,39,2014/03/31,62,241719,0,32263,72806,83496,243674,220035.19,2014/03/15,7.75,30214.875,28,17,11.24590164,121,400,500,7,0.902990019,20,42,121764,119955,32263,900,33163,32763,274882,152718,0.677419355,0.322580645,0.503739864,0.496255999,10
